mean,lon,region,lat,system:index,sample_id
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,00000000000000000040,H179
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000005,H237
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000006,H168
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000007,H171
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000008,H172
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000009,H175
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000000a,H173
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000000b,H169
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000027,H170
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000028,H165
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,00000000000000000029,H239
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000002a,H161
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000002b,H162
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000002c,H236
0.2641896528641583,-80.15648145973384,guelph,43.545354627848894,0000000000000000002d,H166
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000013,H3
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000017,H1
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000018,H8
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000019,H6
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000035,H28
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000036,H5
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,00000000000000000038,H9
0.2358114646234086,-80.24286183190006,guelph,43.53630097728895,0000000000000000003b,H7
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,00000000000000000014,H66
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,00000000000000000015,H61
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,00000000000000000016,H58
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,00000000000000000037,H53
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,00000000000000000039,H49
0.23791201695313396,-80.24435393189874,guelph,43.53896579088384,0000000000000000003a,H57
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000020,H276
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000021,H279
