mean,area,ID_hormone,lon,lat,system:index
-0.3826491560696001,Durham,78,-79.014674,35.982532,00000000000000000009
-0.3826491560696001,Durham,79,-79.014674,35.982532,0000000000000000000a
-0.3826491560696001,Durham,80,-79.014674,35.982532,0000000000000000000b
-0.3826491560696001,Durham,86,-79.014674,35.982532,0000000000000000000c
-0.3826491560696001,Durham,87,-79.014674,35.982532,0000000000000000000d
-0.3826491560696001,Durham,88,-79.014674,35.982532,0000000000000000000e
-0.3826491560696001,Durham,90,-79.014674,35.982532,0000000000000000000f
-0.3826491560696001,Durham,95,-79.014674,35.982532,00000000000000000010
-0.3826491560696001,Durham,97,-79.014674,35.982532,00000000000000000011
-0.3826491560696001,Durham,105,-79.014674,35.982532,00000000000000000012
-0.3826491560696001,Durham,106,-79.014674,35.982532,00000000000000000013
-0.3826491560696001,Durham,109,-79.014674,35.982532,00000000000000000014
-0.28917164381439825,Durham,81,-78.949928,36.002446,0000000000000000001b
-0.28917164381439825,Durham,103,-78.949928,36.002446,0000000000000000001c
-0.3074266687473368,Durham,114,-78.950851,35.997064,00000000000000000078
-0.22422079415171814,Durham,56,-78.994432725,35.9845845957,00000000000000000025
-0.297769448792911,Durham,75,-79.027912,36.032358,0000000000000000001a
-0.31376140880407766,Durham,104,-78.9984825253,35.9811102886,00000000000000000017
-0.34075790876211365,Durham,77,-79.0156446397,35.9776119523,00000000000000000015
-0.18060969222338913,Durham,82,-78.944274,36.000135,0000000000000000004c
-0.1772758978303537,Durham,71,-78.95473,36.007412,0000000000000000002b
-0.2454789850741113,Durham,99,-78.9671734348,36.0152430761,00000000000000000029
-0.15678400711989737,Durham,94,-78.954719,36.006292,0000000000000000002f
-0.13562745987404193,Durham,83,-78.94265,36.001908,00000000000000000050
-0.1591520442500062,Durham,76,-78.9546538889,36.0053162945,00000000000000000030
-0.1591520442500062,Durham,96,-78.9546538889,36.0053162945,00000000000000000031
-0.2999387357655554,Durham,65,-78.967409,36.008667,00000000000000000023
-0.3346136744765634,Durham,85,-79.0608499199,36.0257307151,00000000000000000018
-0.3051024646427056,Durham,62,-79.011758,35.976678,00000000000000000016
-0.2532983483215823,Durham,57,-78.9881365746,35.9896389701,0000000000000000001e
-0.2623758326669471,Durham,1a,-78.959875,36.016182,00000000000000000026
